num,time,seconds,source,ip,50plus,wechat,wechattime,videocall,videocallrate,switchcamera,voicecall,voicecallrate,presstospeak,presstospeakrate,sendlocation,sendlocationrate,recallmessage,recallmessagerate,moments,momentsrate,enlargefontsize,caremode,nps,age,gender,marriage,living,education,pension,livingarea
1,2022/10/10 18:29,234,微信,36.36.106.146(广东-深圳),1,1,3,4,5,1,5,5,5,5,2,3,3,4,4,4,1,2,11,67,1,2,1,2,2,2
2,2022/10/10 18:31,12,微信,110.80.12.186(福建-厦门),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022/10/10 18:41,745,微信,124.240.88.165(广东-广州),1,1,3,3,3,1,4,4,3,4,3,3,3,3,4,4,1,2,11,52,1,2,1,1,3,2
4,2022/10/10 18:44,49,微信,124.240.94.228(广东-广州),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2,2,1,1,3,2
5,2022/10/10 18:45,453,微信,14.16.156.251(广东-深圳),1,1,2,3,4,1,3,4,3,4,3,4,2,3,2,4,1,1,1,54,2,2,1,1,1,1
6,2022/10/10 18:46,107,微信,124.240.88.165(广东-广州),1,1,4,2,5,1,4,4,4,4,2,3,2,3,4,4,2,2,11,55,2,2,1,2,3,2
7,2022/10/10 18:49,88,微信,124.240.94.228(广东-广州),1,1,3,1,3,1,2,3,3,3,1,3,1,3,1,3,1,2,2,72,1,2,1,2,8,2
8,2022/10/10 18:51,277,微信,223.104.63.62(广东-惠州),1,1,2,4,4,1,3,4,3,4,3,4,2,3,2,4,1,1,1,52,1,2,1,2,1,1
9,2022/10/10 18:52,266,微信,124.240.77.34(广东-广州),1,1,2,3,4,1,4,4,1,3,2,4,2,4,2,4,1,2,11,64,2,3,1,2,1,1
10,2022/10/10 18:53,445,微信,117.136.33.44(广东-东莞),1,1,3,4,5,1,4,5,4,4,3,3,3,3,2,3,2,2,11,72,1,2,1,3,3,2
11,2022/10/10 18:57,100,微信,223.104.74.221(广东-东莞),1,1,3,1,3,2,3,3,5,5,1,1,1,1,1,4,2,2,11,72,1,2,1,1,4,1
12,2022/10/10 19:00,113,微信,117.136.39.207(广东-深圳),1,1,4,4,4,1,4,4,4,4,1,3,2,3,3,4,1,2,11,58,2,2,1,1,1,2
13,2022/10/10 19:01,21,微信,112.97.168.14(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2022/10/10 19:01,66,微信,14.221.97.234(广东-东莞),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,2,1,2,8,1
15,2022/10/10 19:03,80,微信,183.46.45.68(广东-汕头),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,2,2,1,2,8,1
16,2022/10/10 19:11,31,微信,120.229.168.213(广东-惠州),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2,2,1,1,1,2
17,2022/10/10 19:13,5,互填问卷,39.144.73.114(宁夏-银川),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2022/10/10 19:13,5,互填问卷,223.104.177.91(辽宁-大连),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2022/10/10 19:13,4,互填问卷,223.104.161.54(浙江-未知),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2022/10/10 19:13,8,互填问卷,221.197.69.24(天津-天津),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2022/10/10 19:13,40,互填问卷,111.58.32.229(广西-河池),1,1,3,3,3,1,4,3,5,4,3,4,4,5,4,3,1,1,9,32,2,2,1,4,4,1
22,2022/10/10 19:13,5,互填问卷,221.197.69.24(天津-天津),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2022/10/10 19:13,43,互填问卷,14.104.111.220(重庆-重庆),1,1,3,4,4,1,5,4,5,3,4,5,4,5,3,4,1,1,8,30,1,2,2,4,6,1
24,2022/10/10 19:13,43,互填问卷,118.212.215.134(江西-南昌),1,1,3,4,4,1,2,4,3,4,3,4,5,4,3,4,1,1,8,55,2,2,1,2,3,2
25,2022/10/10 19:13,4,互填问卷,182.104.91.31(江西-南昌),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2022/10/10 19:13,36,互填问卷,223.104.65.127(广东-东莞),1,1,3,2,2,1,3,3,3,3,3,2,2,3,3,4,2,1,7,23,1,1,2,3,5,1
27,2022/10/10 19:13,7,互填问卷,223.104.42.112(北京-北京),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2022/10/10 19:14,49,互填问卷,113.64.5.151(广东-汕头),1,1,2,2,4,1,4,4,4,4,4,4,1,3,4,5,2,2,11,31,1,2,1,4,1,1
29,2022/10/10 19:14,4,互填问卷,218.28.159.170(河南-洛阳),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2022/10/10 19:14,40,互填问卷,106.33.21.10(河南-郑州),1,1,2,2,4,1,3,4,3,4,3,4,3,4,3,4,1,1,6,52,1,2,1,4,3,1
31,2022/10/10 19:14,35,互填问卷,27.224.110.24(甘肃-兰州),1,1,3,3,3,1,2,3,4,2,2,4,5,4,4,4,1,1,7,29,2,2,2,3,5,2
32,2022/10/10 19:14,44,互填问卷,171.109.237.162(广西-玉林),1,1,3,3,3,1,2,2,2,3,3,3,2,4,4,2,1,1,4,51,2,2,1,4,4,1
33,2022/10/10 19:14,8,互填问卷,182.125.195.237(河南-新乡),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2022/10/10 19:14,21,互填问卷,27.148.85.244(福建-福州),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,2,3,3,4,1
35,2022/10/10 19:14,80,互填问卷,223.89.146.42(河南-驻马店),1,1,2,2,2,1,4,4,1,1,1,1,1,1,2,4,1,1,8,55,1,2,1,1,2,2
36,2022/10/10 19:14,31,互填问卷,113.247.146.20(湖南-长沙),1,1,4,3,3,2,3,5,3,3,3,1,4,3,4,3,2,2,6,50,2,2,3,5,5,1
37,2022/10/10 19:14,48,互填问卷,120.242.228.195(安徽-安庆),1,1,2,2,4,1,3,5,4,5,2,2,2,4,1,2,2,2,4,68,1,2,1,3,4,1
38,2022/10/10 19:14,4,互填问卷,120.230.204.16(广东-韶关),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2022/10/10 19:14,39,互填问卷,106.18.129.101(湖南-长沙),1,1,3,3,4,2,3,4,2,2,4,4,2,4,3,2,1,2,9,30,2,2,1,4,6,1
40,2022/10/10 19:14,57,互填问卷,39.144.86.221(河北-邯郸),1,1,2,4,3,1,3,3,3,4,2,2,2,2,3,3,2,2,5,52,1,2,1,2,1,1
41,2022/10/10 19:14,10,互填问卷,111.29.254.160(海南-海口),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2022/10/10 19:15,42,互填问卷,43.225.208.184(黑龙江-哈尔滨),1,1,3,4,5,1,5,4,5,5,4,4,5,4,5,5,1,1,9,27,2,2,1,4,5,1
43,2022/10/10 19:15,116,互填问卷,171.35.80.153(江西-赣州),1,1,2,4,5,1,4,5,5,5,3,4,3,4,2,3,1,1,11,65,2,3,1,2,1,1
44,2022/10/10 19:15,58,互填问卷,124.240.87.225(广东-广州),1,1,3,3,4,1,5,3,3,4,4,4,4,4,3,4,1,1,9,43,2,4,1,4,6,1
45,2022/10/10 19:15,89,互填问卷,120.239.118.189(广东-阳江),1,1,3,4,4,1,5,4,5,4,2,3,3,3,2,4,2,2,9,51,1,2,2,3,6,1
46,2022/10/10 19:15,8,互填问卷,45.116.152.69(内蒙古-呼和浩特),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2022/10/10 19:15,7,互填问卷,36.157.223.85(湖南-长沙),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2022/10/10 19:15,104,互填问卷,116.199.71.83(广东-广州),1,1,2,3,4,1,4,4,4,4,2,3,2,3,3,4,2,2,6,59,1,2,1,2,3,1
49,2022/10/10 19:15,10,互填问卷,61.138.106.19(内蒙古-包头),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2022/10/10 19:15,137,互填问卷,61.242.134.66(湖北-未知),1,1,5,4,4,1,5,5,4,5,4,5,4,5,4,4,1,1,11,51,2,2,1,5,5,1
51,2022/10/10 19:15,10,互填问卷,119.103.189.75(湖北-武汉),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2022/10/10 19:15,16,互填问卷,180.130.10.241(云南-昆明),1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,2,2,2,3,1
53,2022/10/10 19:15,97,互填问卷,124.128.158.218(山东-济南),1,1,1,2,3,1,4,3,4,4,2,3,2,3,2,3,1,1,11,50,2,2,1,4,3,1
54,2022/10/10 19:15,7,互填问卷,1.62.97.53(黑龙江-哈尔滨),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2022/10/10 19:15,10,互填问卷,113.240.228.230(湖南-长沙),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2022/10/10 19:15,10,互填问卷,220.200.42.77(福建-福州),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2022/10/10 19:16,35,互填问卷,110.16.78.150(内蒙古-呼和浩特),1,1,3,4,2,1,4,3,4,5,3,4,3,4,3,2,1,1,7,30,2,2,2,4,6,1
58,2022/10/10 19:16,29,互填问卷,61.48.211.242(北京-北京),1,1,2,3,3,2,3,2,3,3,3,2,3,3,2,2,1,2,3,32,1,1,2,3,4,1
59,2022/10/10 19:16,183,互填问卷,139.207.115.102(四川-成都),1,1,2,3,4,1,3,4,3,4,2,1,1,3,4,4,2,2,9,51,2,2,2,3,1,1
60,2022/10/10 19:16,20,互填问卷,27.109.175.158(澳门-未知),1,1,3,3,3,2,4,2,3,2,3,4,3,3,4,2,2,1,6,27,2,3,1,3,4,1
62,2022/10/10 19:16,26,互填问卷,27.23.168.105(湖北-黄冈),1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,8,65,1,2,1,4,6,1
63,2022/10/10 19:16,172,互填问卷,36.134.64.148(天津-天津),1,1,5,4,5,1,4,5,5,5,3,4,2,5,4,5,1,1,11,52,2,2,1,2,1,2
64,2022/10/10 19:16,80,互填问卷,183.224.72.67(云南-昆明),1,1,4,4,4,1,3,4,4,4,2,3,1,3,1,3,1,1,9,52,2,2,1,4,4,1
65,2022/10/10 19:16,6,互填问卷,117.136.89.215(湖南-郴州),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2022/10/10 19:16,4,互填问卷,111.58.16.241(广西-桂林),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2022/10/10 19:16,50,互填问卷,111.181.52.40(湖北-鄂州),1,1,3,2,3,1,1,3,3,3,3,3,3,3,3,3,2,2,5,52,2,2,1,2,1,2
68,2022/10/10 19:16,48,互填问卷,223.104.49.223(福建-厦门),1,1,3,4,5,1,5,4,5,4,3,3,4,5,4,3,1,1,9,56,2,2,1,4,3,2
69,2022/10/10 19:16,6,互填问卷,124.238.204.175(河北-廊坊),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2022/10/10 19:22,14,微信,223.74.117.170(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2022/10/10 19:23,14,微信,223.74.117.170(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2022/10/10 19:41,12,问卷推荐服务,124.64.16.249(北京-北京),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2022/10/10 19:42,13,问卷推荐服务,113.116.223.184(广东-深圳),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2022/10/10 19:42,12,问卷推荐服务,112.12.172.13(浙江-温州),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2022/10/10 19:42,9,问卷推荐服务,223.104.39.12(北京-北京),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2022/10/10 19:42,10,问卷推荐服务,117.189.127.181(贵州-黔东南),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2022/10/10 19:42,7,问卷推荐服务,122.194.137.248(江苏-徐州),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2022/10/10 19:42,19,问卷推荐服务,36.44.166.106(陕西-西安),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
